control.1	control.2	control.3	rna1.1	rna1.2	rna1.3	rna2.1	rna2.2	rna2.3	Majority.protein.IDs	Protein.names	Gene.names
99804000	60241000	61188000	61989000	62692000	73365000	109640000	88878000	94649000	H0YE97;H0YEY8;H0YD48;H0YEF7;H0YEH1		PICALM
75841000	59954000	47994000	61051000	55879000	73971000	64797000	48966000	39208000	H0YDB6		
92831000	59132000	69822000	58586000	62754000	53121000	44664000	54226000	51757000	O94964;O94964-2;H0YDM2;O94964-3;O94964-4	Protein SOGA1;N-terminal form;C-terminal 80 kDa form	SOGA1
505540000	174670000	259910000	243370000	299990000	194800000	277460000	284160000	384310000	P28347;H0YE88;E9PKB7;H0YEJ9;A4FUP2	Transcriptional enhancer factor TEF-1	TEAD1
1017700000	1.017e+09	793520000	376100000	310230000	353480000	381790000	280540000	381400000	Q9P2B2;H0YFT2	Prostaglandin F2 receptor negative regulator	PTGFRN
832050000	792510000	983410000	269850000	265460000	298140000	235710000	243960000	249820000	Q9UKM7;H0YGV7;H0YG20;B3KQC5	Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase	MAN1B1
385300000	358080000	328860000	474910000	456340000	366750000	420020000	403530000	564630000	P52756;H0YGC0	RNA-binding protein 5	RBM5
15277000	23273000	25030000	39622000	42154000	27229000	24034000	21636000	23463000	H0YGE8		
7.2722e+10	7.6215e+10	6.6769e+10	8.0705e+10	8.4019e+10	8.8166e+10	1.026e+11	1.1264e+11	1.1279e+11	P31327;H0YGP4;P31327-2	Carbamoyl-phosphate synthase [ammonia], mitochondrial	CPS1
132400000	92754000	77618000	65021000	63468000	81444000	92480000	134860000	141180000	Q6PJ69;H0YGS7	Tripartite motif-containing protein 65	TRIM65
69012000	61193000	128010000	49005000	56407000	49278000	59115000	61406000	61348000	Q8N8S7-2;H0YH67	Protein enabled homolog	ENAH
644490000	562900000	853900000	747090000	680320000	702810000	754910000	758010000	730290000	Q99700;H0YH87;Q99700-2;Q99700-4;F8WB06;F8VQP2;Q24JQ7	Ataxin-2	ATXN2
74253000	42274000	108870000	55050000	60727000	93487000	56526000	68488000	55756000	Q8WYA0;H0YHE2;H0YIR4;Q8WYA0-3	Intraflagellar transport protein 81 homolog	IFT81
2352600000	3123300000	2460100000	2644200000	2573500000	2219600000	2648400000	2505700000	2501600000	H0YHG0		
217640000	171480000	272450000	302030000	285420000	301240000	284070000	158740000	226510000	H0YHI0;P49356;B4E1A0;B3KSC2	Protein farnesyltransferase subunit beta	CHURC1-FNTB;FNTB
5025400	6836700	10870000	9537200	5274800	8882400	8210000	3731300	5366100	Q96QF0;H0YI02;Q96QF0-8;Q96QF0-5;Q96QF0-7;Q96QF0-6;Q96QF0-3;Q96QF0-4;Q96QF0-2	Rab-3A-interacting protein	RAB3IP
252650000	212420000	210330000	341760000	412450000	344880000	221620000	282460000	229710000	Q9H8H3;H0YI09;B4DDW1;F8VQX6	Methyltransferase-like protein 7A	METTL7A
204630000	237120000	140160000	454150000	292530000	350220000	290160000	549040000	262790000	H0YIV9;F8VRU3;O43716	Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial	GATC
634730000	713920000	766860000	1243600000	1424700000	1654800000	1619300000	1482600000	1.586e+09	Q9Y394;H0YJ66;Q9Y394-2;F8W9Q4;H0YJE4;H0YJR8	Dehydrogenase/reductase SDR family member 7	DHRS7
48907000	35111000	43360000	35541000	39997000	39285000	42150000	59254000	35402000	Q6ZU80;H0YJE3;Q6ZU80-1	Centrosomal protein of 128 kDa	CEP128
1874800000	2024500000	2455300000	2494900000	2355400000	2155200000	2047400000	1795700000	2040400000	H0YK48;P09493-5	Tropomyosin alpha-1 chain	TPM1
103730000	92406000	101770000	75685000	81385000	60720000	65773000	68724000	65021000	Q5J8M3;H0YMH5;H0YK61;H0YNK0;H0YLG4;H0YNK8;Q5J8M3-3;Q5J8M3-2;H0YN63;H0YLP8	ER membrane protein complex subunit 4	EMC4
344290000	294860000	445810000	212080000	183600000	188610000	201870000	133700000	190460000	P67812;H0YKT4;H0YNG3;H0YK72;H0YK83	Signal peptidase complex catalytic subunit SEC11A	SEC11A
40333000	27251000	28094000	19303000	27438000	32393000	32899000	25396000	22097000	Q96G23;Q5SZE2;Q5SZE3;H0YKH6;Q5SZE4;Q5SZE1;H0YNU7	Ceramide synthase 2	CERS2
74550000	57200000	131950000	81197000	103690000	64820000	95460000	89437000	90424000	Q9UPM8;H0YKX4	AP-4 complex subunit epsilon-1	AP4E1
209220000	196290000	192490000	255430000	207190000	272350000	171710000	145040000	183900000	Q92696;H0YLH3;B4E069	Geranylgeranyl transferase type-2 subunit alpha	RABGGTA
154430000	107820000	86705000	1.46e+08	184390000	1.47e+08	135150000	133130000	153700000	Q9BV29;H0YM19;H0YN78;H0YLI5;H0YMC0;Q9BV29-3;Q9BV29-2;H0YLN5	Uncharacterized protein C15orf57	C15orf57
914180000	544800000	410200000	377390000	314820000	282200000	630880000	461390000	569410000	Q9NPI6;H0YLN1;H0YLY1	mRNA-decapping enzyme 1A	DCP1A
341320000	156310000	189670000	125020000	118160000	173450000	214020000	172580000	256460000	Q15004;H0YMA4;H0YKX3	PCNA-associated factor	KIAA0101
129430000	154180000	166340000	152340000	164220000	175630000	170290000	82822000	123940000	H0YMR4		IPO4
218010000	127130000	49417000	35488000	147490000	122770000	54760000	252340000	16701000	O94923;H0YNP1	D-glucuronyl C5-epimerase	GLCE
208010000	108120000	154060000	139050000	166780000	152790000	146060000	111590000	159160000	Q6N043;H0YNQ7;Q6N043-2;H0YLA6;H0YL38;Q6N043-3;E7EUT0;G8JL92;Q6N043-4	Zinc finger protein 280D	ZNF280D
612420000	544200000	609450000	723770000	741550000	762640000	924350000	670830000	584480000	H0YNY8;O00470;F8W8U3;O00470-2;F5GYS8;B7Z4T5;B3KUX4	Homeobox protein Meis1	MEIS1
3907200000	4860200000	4339500000	4974600000	5114500000	5.673e+09	5120300000	5051200000	5003200000	O00116;F5H632	Alkyldihydroxyacetonephosphate synthase, peroxisomal	AGPS
1451900000	1603600000	1775500000	2352500000	2131400000	2008500000	2232700000	1775200000	1727300000	O00139-2;O00139;O00139-1;E9PB70;O00139-4	Kinesin-like protein KIF2A	KIF2A
8357600000	6199600000	6839400000	6900900000	9110100000	8023700000	7669600000	7.14e+09	7138400000	O00148;Q8N5M0;B1Q2N1	ATP-dependent RNA helicase DDX39A	DDX39A;DDX39
3819100000	3.488e+09	3593100000	3636100000	3711900000	3619100000	4288100000	4315500000	4168800000	O00151	PDZ and LIM domain protein 1	PDLIM1
2427600000	2545500000	2.347e+09	3640600000	3744400000	3.812e+09	3205400000	3210200000	3181400000	O00154;O00154-6;O00154-4;O00154-5;B4DUX0;O00154-2;O00154-3	Cytosolic acyl coenzyme A thioester hydrolase	ACOT7
2279900000	2193700000	2515400000	1134300000	1189100000	1196200000	1559600000	1715200000	1533800000	O00161;O00161-2	Synaptosomal-associated protein 23	SNAP23
207420000	177830000	190560000	158760000	161510000	179910000	166770000	144340000	129220000	O00165;O00165-5;O00165-2;E9PIQ7;Q5VYD6;E9PEY2;O00165-3	HCLS1-associated protein X-1	HAX1
3912400000	3550900000	3518400000	5097200000	5114600000	5092100000	4335100000	4464600000	4726500000	O00170;E9PMH2;E9PPD7	AH receptor-interacting protein	AIP
571940000	616140000	493280000	620180000	577760000	551720000	492830000	547990000	482240000	O00178;E9PBK9;B0QY59	GTP-binding protein 1	GTPBP1
1.018e+09	919190000	783150000	651530000	769240000	780600000	886790000	7.55e+08	814140000	O00186	Syntaxin-binding protein 3	STXBP3
47383000	57318000	38493000	72657000	58914000	76817000	44921000	52540000	44784000	O00194	Ras-related protein Rab-27B	RAB27B
9502900000	1.0125e+10	9213800000	8804800000	9522100000	8995200000	8556800000	9922600000	8246900000	O00231	26S proteasome non-ATPase regulatory subunit 11	PSMD11
2893700000	2970300000	3384900000	3088500000	2942800000	3.34e+09	3003500000	3464200000	3797700000	O00232;A6NP15	26S proteasome non-ATPase regulatory subunit 12	PSMD12
1912700000	1726700000	2347700000	2160400000	2008700000	1918100000	1994500000	1891600000	1972900000	O00233;F5H5V4;F5GX23;F8W7V8;O00233-2;F5H182	26S proteasome non-ATPase regulatory subunit 9	PSMD9
2595600000	2612500000	2954800000	3181500000	2701700000	2342200000	1966100000	2524600000	2650900000	O00244;E5RGN3;E5RIM7	Copper transport protein ATOX1	ATOX1
228470000	1.88e+08	268970000	161190000	223080000	159920000	245350000	311280000	264210000	O00257;O00257-3	E3 SUMO-protein ligase CBX4	CBX4
5117800000	4.075e+09	2.644e+09	5724300000	6418300000	6419400000	5166400000	5354300000	4718800000	O00264;B7Z1L3	Membrane-associated progesterone receptor component 1	PGRMC1
2954900000	2728200000	2742100000	2590200000	3133200000	2.601e+09	2753600000	2762600000	2625200000	O00267;O00267-2;B4DJK4	Transcription elongation factor SPT5	SUPT5H
190170000	114870000	99289000	124150000	134850000	191230000	141090000	106260000	114890000	O00268;Q5TBP5	Transcription initiation factor TFIID subunit 4	TAF4
961240000	957620000	1118300000	859930000	817290000	692480000	1079400000	1000900000	1098600000	O00273;O00273-2	DNA fragmentation factor subunit alpha	DFFA
532160000	444670000	627160000	403190000	468040000	370550000	454830000	337790000	482530000	O00291;E7ES17	Huntingtin-interacting protein 1	HIP1
1.2377e+10	1.2537e+10	1.2743e+10	1.6881e+10	1.5191e+10	1.531e+10	1.5028e+10	1.5935e+10	1.5576e+10	O00299	Chloride intracellular channel protein 1	CLIC1
42124000	30969000	71748000	65632000	9338000	40079000	57617000	22286000	75384000	O00300	Tumor necrosis factor receptor superfamily member 11B	TNFRSF11B
69836000	77534000	66289000	61873000	46228000	80951000	38637000	47838000	65345000	O00311	Cell division cycle 7-related protein kinase	CDC7
722320000	824600000	1000800000	845770000	1382800000	792310000	596280000	843830000	813120000	O00399	Dynactin subunit 6	DCTN6
895320000	742850000	905270000	765030000	858650000	727380000	1059600000	941680000	759120000	O00401	Neural Wiskott-Aldrich syndrome protein	WASL
2.2159e+10	2.3752e+10	2.3153e+10	2.9921e+10	3.2776e+10	3.3198e+10	2.4977e+10	2.4487e+10	2.5564e+10	O00410;O00410-3;H0Y8C6;O00410-2;B4E0R6	Importin-5	IPO5
1560800000	1471800000	1894200000	1410400000	1616500000	1483400000	1369500000	1295500000	1.33e+09	O00411;E9PDE7	DNA-directed RNA polymerase, mitochondrial	POLRMT
675390000	826210000	619580000	581710000	611500000	568080000	606880000	503470000	461830000	O00418	Eukaryotic elongation factor 2 kinase	EEF2K
1458900000	2028300000	1569400000	2281800000	2052800000	1849700000	2466900000	2230100000	2311200000	O00422	Histone deacetylase complex subunit SAP18	SAP18
6130800000	5735100000	5582200000	5297600000	5098700000	5190200000	4995500000	5233800000	5173900000	O00425	Insulin-like growth factor 2 mRNA-binding protein 3	IGF2BP3
7.138e+09	7760900000	7356400000	8074400000	8249400000	8404400000	8210500000	8125900000	8715200000	O00429;O00429-3;O00429-6;O00429-5;B4DGC9	Dynamin-1-like protein	DNM1L
121650000	114230000	115190000	98415000	162100000	134850000	177020000	225690000	251040000	O00429-2;O00429-4;G8JLD5;F8W8D1;G8JL97	Dynamin-1-like protein	DNM1L
1.253e+09	852530000	1184700000	782640000	850430000	901230000	1088200000	1.105e+09	794750000	O00442;O00442-2	RNA 3-terminal phosphate cyclase	RTCA
1128900000	891520000	888870000	624020000	672810000	600970000	730070000	523970000	596950000	O00443;F5H2B0	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	PIK3C2A
656570000	393530000	312150000	270130000	493760000	419170000	429500000	154610000	343210000	O00459;E9PFP1	Phosphatidylinositol 3-kinase regulatory subunit beta	PIK3R2
993310000	885690000	1187400000	694050000	680480000	692900000	517400000	459210000	429410000	O00461;F8W785	Golgi integral membrane protein 4	GOLIM4
637320000	663160000	755150000	248510000	285290000	278350000	256810000	270210000	71762000	O00468	Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment	AGRN
4942900000	4996500000	5483800000	2.648e+09	2570100000	2799100000	1987600000	2440300000	2333200000	O00469-2;E7ETU9;O00469;B3KWS3	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	PLOD2
331700000	314390000	289870000	444860000	367330000	400820000	349050000	339010000	366300000	O00471;F8W9B8	Exocyst complex component 5	EXOC5
180050000	162050000	177770000	171570000	234470000	184530000	179240000	166150000	128460000	O00472;D6RC27;B4DNK7	RNA polymerase II elongation factor ELL2	ELL2
677100000	472360000	597720000	332690000	223230000	482190000	495970000	987550000	910940000	O00479	High mobility group nucleosome-binding domain-containing protein 4	HMGN4
1049900000	1060900000	838210000	1230400000	1285100000	1163500000	1375900000	1611200000	1635300000	O00483	Cytochrome c oxidase subunit NDUFA4	NDUFA4
1121200000	989900000	1113600000	987410000	1181500000	1074600000	989160000	1065200000	1387900000	O00487	26S proteasome non-ATPase regulatory subunit 14	PSMD14
2816600000	2805100000	3705600000	2800700000	2537800000	2542800000	2984600000	3187600000	3148200000	O00499;O00499-10;O00499-2;O00499-9;O00499-7;O00499-8;O00499-4;O00499-6;O00499-11;O00499-3;O00499-5	Myc box-dependent-interacting protein 1	BIN1
2485900000	3099600000	2561500000	3860600000	3.969e+09	4593500000	3266100000	3.168e+09	3738400000	O00505	Importin subunit alpha-4	KPNA3
1138200000	1165200000	922720000	1.842e+09	1955400000	1.722e+09	1180500000	1603900000	1322100000	O00560;O00560-2;G5EA09;O00560-3;B4DHN5;E9PBU7	Syntenin-1	SDCBP
58628000	42974000	48170000	117440000	151550000	115480000	45250000	57374000	31890000	O00562;O00562-2;E9PNU6;E9PMZ6;E9PMS0;E9PSD1	Membrane-associated phosphatidylinositol transfer protein 1	PITPNM1
2072500000	2054600000	1764600000	2264900000	2506600000	2468900000	2406600000	2649600000	2574600000	O00566;C9JX83	U3 small nucleolar ribonucleoprotein protein MPP10	MPHOSPH10
1.0038e+10	9174500000	1.0591e+10	1.0057e+10	1.0125e+10	9662900000	1.186e+10	1.2303e+10	1.2451e+10	O00567	Nucleolar protein 56	NOP56
2.1683e+10	1.9679e+10	2.0562e+10	1.8069e+10	1.9865e+10	1.9814e+10	2.2774e+10	2.1108e+10	2.3239e+10	O00571;B4E3E8;B4DLU5;O15523;B4DXX7	ATP-dependent RNA helicase DDX3X;ATP-dependent RNA helicase DDX3Y	DDX3X;DDX3Y
4.66e+09	4777900000	3915800000	3.543e+09	3079100000	3.268e+09	5686400000	4067500000	4681700000	O00625	Pirin	PIR
1314800000	1491500000	1216500000	1810700000	1334900000	1280100000	1312100000	1231900000	1279700000	O00629	Importin subunit alpha-3	KPNA4
772180000	853320000	875250000	768580000	809200000	837340000	938750000	901720000	1.007e+09	O00712;Q5VW26;Q5VW27;Q5VW30;Q5VW29;Q5W0Y9;O00712-2	Nuclear factor 1 B-type;Nuclear factor 1	NFIB
1.664e+09	1495900000	2458100000	1560400000	1971100000	1602500000	1891900000	1577900000	1809800000	O00743;O00743-2;O00743-3;B7Z3E2	Serine/threonine-protein phosphatase 6 catalytic subunit;Serine/threonine-protein phosphatase 6 catalytic subunit, N-terminally processed	PPP6C
1.903e+09	2187700000	2274100000	1760600000	1740400000	1674200000	1454400000	1572400000	1611800000	O00762;E1P5N7;A6NP33	Ubiquitin-conjugating enzyme E2 C	UBE2C
4416800000	4674900000	5103500000	6052700000	5.574e+09	5.679e+09	4958600000	5325100000	5065600000	O00764;F2Z3F8;F2Z2Y4;O00764-3;O00764-2	Pyridoxal kinase	PDXK
464630000	430350000	483650000	100730000	80981000	59386000	205650000	93024000	113610000	O00767	Acyl-CoA desaturase	SCD
929430000	729080000	855170000	886310000	825510000	676840000	718880000	852350000	761650000	O14497;O14497-2;O14497-3;H0Y488;Q96SM7	AT-rich interactive domain-containing protein 1A	ARID1A
2559300000	1929500000	1242900000	1977100000	1.08e+09	1508400000	1.261e+09	978920000	1583400000	O14530;B7Z7A4;Q8TB70;B8ZZX4;F8WCJ3	Thioredoxin domain-containing protein 9	TXNDC9
135800000	166850000	179020000	204410000	235020000	289500000	245720000	196370000	210320000	O14545;F8VNX8;F8VWK2;F8VVF3;B4DI89	TRAF-type zinc finger domain-containing protein 1	TRAFD1
4.82e+08	488310000	405940000	765070000	825860000	819590000	645360000	772830000	802980000	O14548;E5RJZ1;H0YBD2	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	COX7A2L
4281200000	3065800000	4594700000	5028400000	5271900000	5203500000	4268700000	4922500000	4131700000	O14561	Acyl carrier protein, mitochondrial	NDUFAB1
759880000	724660000	706850000	1144900000	848080000	986300000	919530000	807430000	821940000	O14562;B3KW52	Ubiquitin domain-containing protein UBFD1	UBFD1
390180000	418440000	393660000	694900000	721960000	695490000	464580000	540830000	383110000	O14578;Q2M5E1;O14578-3	Citron Rho-interacting kinase	CIT
1533700000	1233700000	1179300000	1.285e+09	1545500000	1268800000	1253700000	1333200000	1473600000	O14617;O14617-5;O14617-4;O14617-2;G5E988;E7EMM2;O14617-3	AP-3 complex subunit delta-1	AP3D1
230610000	206620000	158400000	331020000	211310000	271210000	238820000	237510000	194670000	O14618;E9PP76	Copper chaperone for superoxide dismutase;Superoxide dismutase [Cu-Zn]	CCS
212450000	100680000	152370000	205510000	134820000	181850000	146710000	166690000	158620000	O14641	Segment polarity protein dishevelled homolog DVL-2	DVL2
2434900000	2.494e+09	2806800000	4154900000	4.157e+09	3910900000	3517200000	3241400000	3428300000	O14646;O14646-2	Chromodomain-helicase-DNA-binding protein 1	CHD1
94688000	74947000	71952000	59930000	68607000	55257000	55444000	63816000	71459000	O14647;O14647-2	Chromodomain-helicase-DNA-binding protein 2	CHD2
161930000	199430000	194620000	82817000	129700000	144190000	85432000	65626000	97276000	O14656;E7EW96	Torsin-1A	TOR1A
2058400000	1.53e+09	1404800000	234220000	323460000	202580000	2.98e+08	182780000	168330000	O14657;F8WCG1	Torsin-1B	TOR1B
138360000	334430000	249160000	90520000	53960000	59467000	185450000	41801000	111040000	O14672	Disintegrin and metalloproteinase domain-containing protein 10	ADAM10
74176000	78551000	112550000	128020000	153640000	102060000	196270000	44461000	216510000	O14684	Prostaglandin E synthase	PTGES
169920000	134300000	137450000	113470000	119670000	99520000	99573000	102790000	120100000	O14686;O14686-3	Histone-lysine N-methyltransferase 2D	KMT2D
287050000	210020000	221180000	158130000	138440000	98814000	107910000	186530000	229690000	O14730;O14730-2	Serine/threonine-protein kinase RIO3	RIOK3
239150000	235210000	253150000	174720000	163200000	177200000	244370000	253810000	414450000	O14732;O14732-2	Inositol monophosphatase 2	IMPA2
5030500000	3997800000	4039400000	5971200000	5003500000	5575600000	4641800000	3977500000	4289700000	O14737;B4DE64	Programmed cell death protein 5	PDCD5
4027100000	4541100000	4332700000	5.271e+09	5252500000	5159600000	4754700000	4701200000	5033400000	O14744;G3V5W5;A8MZ91;B4DX49;B4DV00;A8MTP3	Protein arginine N-methyltransferase 5;Protein arginine N-methyltransferase 5, N-terminally processed;Protein arginine N-methyltransferase 5	PRMT5
8152100000	8849300000	8056800000	1.22e+10	1.2246e+10	1.0625e+10	1.0964e+10	8778300000	9961300000	O14745;E7EV06	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	SLC9A3R1
50161000	58016000	62076000	52981000	35035000	35040000	5.9e+07	55979000	51118000	O14772;E9PNQ2	Fucose-1-phosphate guanylyltransferase	FPGT
1.0262e+10	7883500000	7743800000	8822700000	8780300000	8.135e+09	7326800000	7538700000	7343200000	O14776;O14776-2;G3V220	Transcription elongation regulator 1	TCERG1
987300000	862480000	763840000	823690000	856330000	771070000	768270000	763760000	665240000	O14777;F5H1J6	Kinetochore protein NDC80 homolog	NDC80
246140000	299790000	242430000	333860000	346990000	445100000	236320000	234570000	274460000	O14787-2;O14787;Q4LE60;F5H8J7;E7EM99	Transportin-2	TNPO2;TNPO2 variant protein
1.2972e+10	1.3425e+10	1.1143e+10	1.3308e+10	1.2677e+10	1.3574e+10	1.0995e+10	1.3354e+10	1.2839e+10	O14818;Q5JXJ2	Proteasome subunit alpha type-7	PSMA7
778650000	761470000	817380000	1034300000	783900000	1122500000	1187400000	1007200000	1096900000	O14828;O14828-2	Secretory carrier-associated membrane protein 3	SCAMP3
234310000	237170000	393680000	308590000	223260000	275250000	159300000	205050000	225530000	O14874;Q96G95;A8MY43;E9PF13	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial	BCKDK
201910000	241320000	253300000	422630000	387280000	497170000	396880000	395140000	358500000	O14880;Q5VV87	Microsomal glutathione S-transferase 3	MGST3
322060000	352490000	344590000	229770000	268070000	216150000	297420000	283220000	297700000	O14907	Tax1-binding protein 3	TAX1BP3
1041300000	1089700000	872830000	1421400000	1848200000	1590200000	1022100000	982130000	922240000	O14908;A8K4I3	PDZ domain-containing protein GIPC1	GIPC1
676570000	663210000	568020000	804700000	643100000	697330000	640450000	621720000	703170000	O14920;O14920-2;B4E0U4;B3KRB7;G3V105	Inhibitor of nuclear factor kappa-B kinase subunit beta	IKBKB
4075600000	3943500000	3255100000	4696600000	4.443e+09	4459500000	2994500000	3710900000	4057400000	O14929;O14929-2	Histone acetyltransferase type B catalytic subunit	HAT1
1866200000	1509400000	1.671e+09	1483400000	1242100000	1258700000	1494600000	1562500000	1390100000	O14936;O14936-3;F8W998;O14936-4;O14936-6;O14936-2;Q5JS74;Q5JS72;O14936-5	Peripheral plasma membrane protein CASK	CASK
218870000	271900000	274380000	43556000	235470000	56344000	275570000	264360000	258860000	O14939;O14939-2;O14939-3	Phospholipase D2	PLD2
5278900000	4242700000	4723600000	4648900000	3534300000	4563300000	3975600000	4078500000	3791500000	O14949	Cytochrome b-c1 complex subunit 8	UQCRQ
35730000	55449000	57283000	52085000	63878000	53684000	44749000	81294000	46431000	O14957	Cytochrome b-c1 complex subunit 10	UQCR11
79208000	67662000	100600000	80187000	31595000	50563000	69769000	78039000	75123000	O14965;A3KFJ0;Q5QPD4	Aurora kinase A	AURKA
2643800000	2833800000	2793600000	4261600000	3661700000	3973400000	3416100000	3757400000	3554300000	O14974;F5H1B6;O14974-4;F8W8Q6;F8VWB4;O14974-2;F8W9E8;F8VZN8	Protein phosphatase 1 regulatory subunit 12A	PPP1R12A
479940000	603170000	668310000	1119800000	1285600000	1347100000	935070000	674510000	941990000	O14975;Q6PF09;G3V1R7	Very long-chain acyl-CoA synthetase	SLC27A2
400570000	487100000	484940000	336800000	440360000	384630000	671770000	401080000	431990000	O14976;E9PGR2	Cyclin-G-associated kinase	GAK
8764100000	1.1143e+10	1.0006e+10	1.0454e+10	1.0489e+10	9237500000	1.0828e+10	1.1523e+10	1.1326e+10	O14979-3;O14979-2;O14979	Heterogeneous nuclear ribonucleoprotein D-like	HNRNPDL
1.5392e+10	1.2937e+10	1.3082e+10	1.1923e+10	1.2172e+10	1.1489e+10	1.394e+10	1.4306e+10	1.4485e+10	O14980	Exportin-1	XPO1
1280200000	957770000	1082100000	1244800000	1311800000	1135400000	934470000	987870000	1.203e+09	O14981	TATA-binding protein-associated factor 172	BTAF1
270900000	252120000	363870000	364060000	366690000	418970000	296620000	428510000	113410000	O15014	Zinc finger protein 609	ZNF609
2040800000	1552900000	1404500000	1374100000	1410700000	1363600000	1.382e+09	1420800000	1345600000	O15020;O15020-2	Spectrin beta chain, non-erythrocytic 2	SPTBN2
1834700000	1561700000	1.964e+09	1661500000	1627500000	1777300000	1741600000	1.697e+09	1613200000	O15027;O15027-5;O15027-2;O15027-4;O15027-3;A4QN19	Protein transport protein Sec16A	SEC16A
1904800000	1.593e+09	1719100000	975910000	1162600000	1074800000	1386300000	1.426e+09	1431800000	O15031	Plexin-B2	PLXNB2
48166000	84745000	44057000	54100000	54144000	62177000	47418000	44871000	38995000	O15047;C9J2Z9	Histone-lysine N-methyltransferase SETD1A	SETD1A
124640000	125610000	154500000	184460000	111750000	148480000	112460000	108470000	188750000	O15061;H0YL34;C9JIE4;O15061-2	Synemin	SYNM
451770000	528950000	841620000	189720000	186260000	248020000	677570000	680860000	544370000	O15066	Kinesin-like protein KIF3B;Kinesin-like protein KIF3B, N-terminally processed	KIF3B
1.0408e+10	1.047e+10	9857300000	7707700000	8.659e+09	8401800000	9651800000	8891200000	9179500000	O15067;F5GWT9	Phosphoribosylformylglycinamidine synthase	PFAS
1148700000	1098200000	1472400000	1519400000	1323500000	1295800000	1165600000	885050000	1064900000	O15084;O15084-1;O15084-4;O15084-2;C9JBB9;B4DIW9	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A	ANKRD28
33311000	19679000	47377000	72757000	72483000	48416000	40408000	56857000	66171000	O15085;O15085-2;F8W8P9	Rho guanine nucleotide exchange factor 11	ARHGEF11
1108100000	1037400000	941780000	392440000	413120000	449400000	608400000	684870000	639150000	O15091;O15091-2;O15091-4	Mitochondrial ribonuclease P protein 3	KIAA0391
280350000	353920000	343840000	144230000	157170000	142630000	338250000	283790000	410810000	O15111	Inhibitor of nuclear factor kappa-B kinase subunit alpha	CHUK
986760000	816790000	862130000	984800000	1012800000	1022400000	859280000	709380000	716420000	O15116	U6 snRNA-associated Sm-like protein LSm1	LSM1
44865000	133020000	154700000	160190000	211890000	205330000	176920000	97590000	104360000	O15118;F5GZD4;B4DET3	Niemann-Pick C1 protein	NPC1
496320000	630300000	588830000	621020000	752890000	771240000	587530000	872710000	747120000	O15121;E7EMA0	Sphingolipid delta(4)-desaturase DES1	DEGS1
824800000	724150000	764860000	712140000	645700000	732010000	598350000	652430000	667610000	O15126;O15126-2	Secretory carrier-associated membrane protein 1	SCAMP1
2941800000	3903600000	5136300000	3281700000	3762200000	3762500000	4835400000	4776600000	4.846e+09	O15143;F8WCG3	Actin-related protein 2/3 complex subunit 1B	ARPC1B
5573900000	6275900000	5210400000	5673600000	5731800000	5.497e+09	6.277e+09	5537700000	5547300000	O15144;E7EWG5	Actin-related protein 2/3 complex subunit 2	ARPC2
3.563e+09	4437300000	4928800000	3949500000	4269200000	3.632e+09	4284400000	4772800000	4157200000	O15145;B4DM63;C9JZD1	Actin-related protein 2/3 complex subunit 3	ARPC3
874950000	201140000	337560000	485720000	300640000	467020000	566430000	511570000	496580000	O15155;C9JTT8;Q68DU7;Q96EA0	BET1 homolog	BET1;DKFZp781C0425
293160000	271900000	331800000	380220000	318750000	256760000	293190000	179080000	212600000	O15156	Zinc finger and BTB domain-containing protein 7B	ZBTB7B
1301600000	1096400000	1167700000	867840000	946580000	1030600000	865240000	851090000	847600000	O15160;O15160-2;E7EQB9;E9PBA4	DNA-directed RNA polymerases I and III subunit RPAC1	POLR1C
399460000	378460000	369380000	395800000	332940000	304260000	400080000	343670000	294080000	O15164;O15164-2;B4DYZ9;C9JPT4;E7ES63	Transcription intermediary factor 1-alpha	TRIM24
21262000	32808000	3.4e+07	21997000	26976000	36650000	37865000	32592000	30838000	O15169;O15169-2	Axin-1	AXIN1
2320300000	1.953e+09	1614700000	1.759e+09	1628400000	1718200000	1949300000	2284700000	1776600000	O15173	Membrane-associated progesterone receptor component 2	PGRMC2
4971300000	4260100000	3765100000	3.424e+09	3045700000	3938300000	3.423e+09	3899600000	4548800000	O15212;A2AB88	Prefoldin subunit 6	PFDN6
179650000	214610000	263170000	402110000	306480000	334280000	222490000	250500000	250360000	O15228;B4DNM9;Q5TBH8	Dihydroxyacetone phosphate acyltransferase	GNPAT
597570000	401330000	429030000	273130000	410850000	427170000	360890000	528170000	389400000	O15235	28S ribosomal protein S12, mitochondrial	MRPS12
178410000	118160000	93606000	63671000	71319000	42826000	115410000	122570000	69538000	O15239	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1	NDUFA1
