Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q5ZJQ8	UBAC2_CHICK	reviewed	Ubiquitin-associated domain-containing protein 2 (UBA domain-containing protein 2) (Phosphoglycerate dehydrogenase-like protein 1)	UBAC2 PHGDHL1 RCJMB04_16f18	Gallus gallus (Chicken)	344
P63283	UBC9_CHICK	reviewed	SUMO-conjugating enzyme UBC9 (EC 2.3.2.-) (RING-type E3 SUMO transferase UBC9) (SUMO-protein ligase) (Ubiquitin carrier protein 9) (Ubiquitin carrier protein I) (Ubiquitin-conjugating enzyme E2 I) (Ubiquitin-protein ligase I)	UBE2I UBC9 UBCE9	Gallus gallus (Chicken)	158
Q5ZMP3	T184C_CHICK	reviewed	Transmembrane protein 184C (Transmembrane protein 34)	TMEM184C TMEM34 RCJMB04_1i7	Gallus gallus (Chicken)	445
P19966	TAGL_CHICK	reviewed	Transgelin (Smooth muscle protein 22-alpha) (SM22-alpha)	TAGLN SM22	Gallus gallus (Chicken)	200
Q5ZJK8	TCPH_CHICK	reviewed	T-complex protein 1 subunit eta (TCP-1-eta) (CCT-eta)	CCT7 RCJMB04_17g3	Gallus gallus (Chicken)	553
Q9YH85	TECTA_CHICK	reviewed	Alpha-tectorin	TECTA	Gallus gallus (Chicken)	2120
O57340	TSHB_CHICK	reviewed	Thyrotropin subunit beta (Thyroid-stimulating hormone subunit beta) (TSH-B) (TSH-beta) (Thyrotropin beta chain)	TSHB	Gallus gallus (Chicken)	134
Q98T89	TWSG1_CHICK	reviewed	Twisted gastrulation protein homolog 1	TWSG1 TSG	Gallus gallus (Chicken)	224
Q9I969	TXLNB_CHICK	reviewed	Beta-taxilin (Muscle-derived protein 77)	TXLNB MDP77	Gallus gallus (Chicken)	676
Q90879	UB2V1_CHICK	reviewed	Ubiquitin-conjugating enzyme E2 variant 1 (UEV-1) (CROC-1B)	UBE2V1	Gallus gallus (Chicken)	145
Q5F3Z3	UB2V2_CHICK	reviewed	Ubiquitin-conjugating enzyme E2 variant 2	UBE2V2 RCJMB04_4b12	Gallus gallus (Chicken)	144
P0CG62	UBB_CHICK	reviewed	Polyubiquitin-B [Cleaved into: Ubiquitin]	UBB	Gallus gallus (Chicken)	305
Q5ZJN4	UBP10_CHICK	reviewed	Ubiquitin carboxyl-terminal hydrolase 10 (EC 3.4.19.12) (Deubiquitinating enzyme 10) (Ubiquitin thioesterase 10) (Ubiquitin-specific-processing protease 10)	USP10 RCJMB04_16o18	Gallus gallus (Chicken)	785
E1BY77	UBP13_CHICK	reviewed	Ubiquitin carboxyl-terminal hydrolase 13 (EC 3.4.19.12) (Deubiquitinating enzyme 13) (Ubiquitin thioesterase 13) (Ubiquitin-specific-processing protease 13)	USP13	Gallus gallus (Chicken)	862
Q5ZID5	UBP28_CHICK	reviewed	Ubiquitin carboxyl-terminal hydrolase 28 (EC 3.4.19.12) (Deubiquitinating enzyme 28) (Ubiquitin thioesterase 28) (Ubiquitin-specific-processing protease 28)	USP28 RCJMB04_27l24	Gallus gallus (Chicken)	1047
Q5ZLK2	UBX2B_CHICK	reviewed	UBX domain-containing protein 2B (NSFL1 cofactor p37) (p97 cofactor p37)	UBXN2B RCJMB04_5m7	Gallus gallus (Chicken)	365
Q5ZJ20	UIF_CHICK	reviewed	UAP56-interacting factor (Forty-two-three domain-containing protein 1) (Protein 40-2-3)	FYTTD1 UIF RCJMB04_21k3	Gallus gallus (Chicken)	307
Q7T2Z5	UNC5C_CHICK	reviewed	Netrin receptor UNC5C (Protein unc-5 homolog 3) (cUNC-5H3) (Protein unc-5 homolog C)	UNC5C	Gallus gallus (Chicken)	931
Q5ZIJ8	UPP_CHICK	reviewed	Uracil phosphoribosyltransferase homolog	UPRT RCJMB04_25k2	Gallus gallus (Chicken)	277
F1NW29	TYDP2_CHICK	reviewed	Tyrosyl-DNA phosphodiesterase 2 (Tyr-DNA phosphodiesterase 2) (EC 3.1.4.-) (5'-tyrosyl-DNA phosphodiesterase) (5'-Tyr-DNA phosphodiesterase)	TDP2	Gallus gallus (Chicken)	369
Q98949	TYRO3_CHICK	reviewed	Tyrosine-protein kinase receptor TYRO3 (EC 2.7.10.1) (Retina-expressed kinase) (Rek)	TYRO3 REK	Gallus gallus (Chicken)	873
Q6IVA4	UBA5_CHICK	reviewed	Ubiquitin-like modifier-activating enzyme 5 (Ubiquitin-activating enzyme 5) (UFM1-activating enzyme) (Ubiquitin activating enzyme-like protein) (Ubiquitin-activating enzyme E1 domain-containing protein 1)	UBA5 UBAL UBE1DC1	Gallus gallus (Chicken)	397
Q5ZIF5	TSN12_CHICK	reviewed	Tetraspanin-12 (Tspan-12)	TSPAN12 RCJMB04_27b23	Gallus gallus (Chicken)	305
P79769	TSN_CHICK	reviewed	Translin (EC 3.1.-.-) (Component 3 of promoter of RISC) (C3PO)	TSN	Gallus gallus (Chicken)	229
P55024	TYRO_CHICK	reviewed	Tyrosinase (EC 1.14.18.1) (Monophenol monooxygenase)	TYR	Gallus gallus (Chicken)	529
O57405	TYRP1_CHICK	reviewed	5,6-dihydroxyindole-2-carboxylic acid oxidase (DHICA oxidase) (EC 1.14.18.-) (Tyrosinase-related protein 1) (TRP-1) (TRP1)	TYRP1	Gallus gallus (Chicken)	535
E1C213	UBP37_CHICK	reviewed	Ubiquitin carboxyl-terminal hydrolase 37 (EC 3.4.19.12) (Deubiquitinating enzyme 37) (Ubiquitin thioesterase 37) (Ubiquitin-specific-processing protease 37)	USP37	Gallus gallus (Chicken)	986
Q5ZJH6	ULK3_CHICK	reviewed	Serine/threonine-protein kinase ULK3 (EC 2.7.11.1) (Unc-51-like kinase 3)	ULK3 RCJMB04_18b17	Gallus gallus (Chicken)	468
Q5F3X4	U5S1_CHICK	reviewed	116 kDa U5 small nuclear ribonucleoprotein component (Elongation factor Tu GTP-binding domain protein 2) (U5 snRNP-specific protein, 116 kDa) (U5-116 kDa)	EFTUD2 SNRP116 RCJMB04_4m11	Gallus gallus (Chicken)	972
Q5ZJI9	UBAC1_CHICK	reviewed	Ubiquitin-associated domain-containing protein 1 (UBA domain-containing protein 1) (E3 ubiquitin-protein ligase subunit KPC2) (Kip1 ubiquitination-promoting complex protein 2)	UBAC1 KPC2 UBADC1 RCJMB04_17l24	Gallus gallus (Chicken)	408
E1C1R4	UBP47_CHICK	reviewed	Ubiquitin carboxyl-terminal hydrolase 47 (EC 3.4.19.12) (Deubiquitinating enzyme 47) (Ubiquitin thioesterase 47) (Ubiquitin-specific-processing protease 47)	USP47	Gallus gallus (Chicken)	1375
Q90627	TRY1_CHICK	reviewed	Trypsin I-P1 (EC 3.4.21.4)		Gallus gallus (Chicken)	248
Q5F3K0	TTC27_CHICK	reviewed	Tetratricopeptide repeat protein 27 (TPR repeat protein 27)	TTC27 RCJMB04_15c1	Gallus gallus (Chicken)	844
Q5ZM35	TWF2_CHICK	reviewed	Twinfilin-2	TWF2 RCJMB04_3e19	Gallus gallus (Chicken)	349
O93505	TYRP2_CHICK	reviewed	L-dopachrome tautomerase (DCT) (DT) (EC 5.3.3.12) (L-dopachrome Delta-isomerase) (Tyrosinase-related protein 2) (TRP-2) (TRP2)	DCT TYRP2	Gallus gallus (Chicken)	521
P83145	UK114_CHICK	reviewed	Ribonuclease UK114 (EC 3.1.-.-) (Perchloric acid-soluble protein) (PSP) (Fragments)		Gallus gallus (Chicken)	39
Q2AB83	T2R40_CHICK	reviewed	Taste receptor type 2 member 40 (T2R40) (Taste receptor type 2 member 1) (T2R1)	TAS2R40 TAS2R1	Gallus gallus (Chicken)	311
Q9I9E0	TAOK3_CHICK	reviewed	Serine/threonine-protein kinase TAO3 (EC 2.7.11.1) (Kinase from chicken) (Thousand and one amino acid protein 3)	TAOK3 KFC RCJMB04_21d18	Gallus gallus (Chicken)	898
Q5ZLG8	TAPT1_CHICK	reviewed	Transmembrane anterior posterior transformation protein 1 homolog	TAPT1 RCJMB04_6d24	Gallus gallus (Chicken)	581
P02552	TBA1_CHICK	reviewed	Tubulin alpha-1 chain [Cleaved into: Detyrosinated tubulin alpha-1 chain] (Fragment)		Gallus gallus (Chicken)	412
P32882	TBB2_CHICK	reviewed	Tubulin beta-2 chain (Beta-tubulin class-II)		Gallus gallus (Chicken)	445
P09652	TBB4_CHICK	reviewed	Tubulin beta-4 chain (Beta-tubulin class-III)		Gallus gallus (Chicken)	449
P09244	TBB7_CHICK	reviewed	Tubulin beta-7 chain (Tubulin beta 4')		Gallus gallus (Chicken)	444
P80585	TBCA_CHICK	reviewed	Tubulin-specific chaperone A (TCP1-chaperonin cofactor A) (Tubulin-folding cofactor A) (CFA)	TBCA	Gallus gallus (Chicken)	108
Q5ZMS6	TDRD3_CHICK	reviewed	Tudor domain-containing protein 3	TDRD3 RCJMB04_1e24	Gallus gallus (Chicken)	741
P24899	TAL1_CHICK	reviewed	T-cell acute lymphocytic leukemia protein 1 homolog (TAL-1) (Stem cell protein)	TAL1 SCL	Gallus gallus (Chicken)	311
Q1G7G9	TALD3_CHICK	reviewed	TALPID3 protein	TALPID3	Gallus gallus (Chicken)	1523
P09645	TBA8_CHICK	reviewed	Tubulin alpha-8 chain (Fragment)		Gallus gallus (Chicken)	324
P09206	TBB3_CHICK	reviewed	Tubulin beta-3 chain (Beta-tubulin class-IV)		Gallus gallus (Chicken)	445
O13270	TBP_CHICK	reviewed	TATA-box-binding protein (TATA sequence-binding protein) (TATA-binding factor) (TATA-box factor) (Transcription initiation factor TFIID TBP subunit)	TBP	Gallus gallus (Chicken)	302
Q90YH9	TES_CHICK	reviewed	Testin	TES	Gallus gallus (Chicken)	422
O93307	SIX6_CHICK	reviewed	Homeobox protein SIX6 (Optic homeobox 2) (Sine oculis homeobox homolog 6) (Six9 protein)	SIX6 OPTX2 SIX9	Gallus gallus (Chicken)	246
Q5ZKF5	SKP1_CHICK	reviewed	S-phase kinase-associated protein 1 (Cyclin-A/CDK2-associated protein p19) (S-phase kinase-associated protein 1A) (p19A) (p19skp1)	SKP1 SKP1A RCJMB04_11c19	Gallus gallus (Chicken)	163
P84023	SMAD3_CHICK	reviewed	Mothers against decapentaplegic homolog 3 (MAD homolog 3) (Mad3) (Mothers against DPP homolog 3) (SMAD family member 3) (SMAD 3) (Smad3)	SMAD3 MADH3	Gallus gallus (Chicken)	426
Q5F413	SMAP2_CHICK	reviewed	Stromal membrane-associated protein 2 (Stromal membrane-associated protein 1-like)	SMAP2 SMAP1L RCJMB04_3n15	Gallus gallus (Chicken)	428
Q9I9J6	SMAP_CHICK	reviewed	Small acidic protein	SMAP	Gallus gallus (Chicken)	172
A7XYH5	SOBP_CHICK	reviewed	Sine oculis-binding protein homolog (Jackson circler protein 1)	SOBP JXC1	Gallus gallus (Chicken)	873
O57401	SOX1_CHICK	reviewed	Transcription factor SOX-1	SOX1	Gallus gallus (Chicken)	373
Q5ZKM1	SPB1_CHICK	reviewed	pre-rRNA processing protein FTSJ3 (EC 2.1.1.-) (2'-O-ribose RNA methyltransferase SPB1 homolog) (Protein ftsJ homolog 3) (Putative rRNA methyltransferase 3)	FTSJ3 RCJMB04_10b6	Gallus gallus (Chicken)	832
E1BUG7	SPT2_CHICK	reviewed	Protein SPT2 homolog	SPTY2D1	Gallus gallus (Chicken)	690
Q5ZMJ9	SRRM1_CHICK	reviewed	Serine/arginine repetitive matrix protein 1	SRRM1 RCJMB04_1m21	Gallus gallus (Chicken)	888
Q04678	SSRP1_CHICK	reviewed	FACT complex subunit SSRP1 (Facilitates chromatin transcription complex subunit SSRP1) (Recombination signal sequence recognition protein 1) (Structure-specific recognition protein 1) (T160)	SSRP1 CIIDBP RCJMB04_4n20	Gallus gallus (Chicken)	706
Q9DG09	STAR_CHICK	reviewed	Steroidogenic acute regulatory protein, mitochondrial (StAR) (START domain-containing protein 1) (StARD1)	STAR	Gallus gallus (Chicken)	281
Q92182	SIAT1_CHICK	reviewed	Beta-galactoside alpha-2,6-sialyltransferase 1 (Alpha 2,6-ST 1) (EC 2.4.99.1) (CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,6-sialyltransferase 1) (ST6Gal I) (ST6GalI) (Sialyltransferase 1)	ST6GAL1 SIAT1	Gallus gallus (Chicken)	413
Q9IA88	SIK2_CHICK	reviewed	Serine/threonine-protein kinase SIK2 (EC 2.7.11.1) (Qin-induced kinase) (Salt-inducible kinase 2) (SIK-2) (Serine/threonine-protein kinase SNF1-like kinase 2)	SIK2 QIK SNF1LK2	Gallus gallus (Chicken)	798
Q5ZJY5	SMC5_CHICK	reviewed	Structural maintenance of chromosomes protein 5 (SMC protein 5) (SMC-5)	SMC5 SMC5L1 RCJMB04_14g12 RCJMB04_6o14	Gallus gallus (Chicken)	1065
Q7T3T4	SMS1_CHICK	reviewed	Phosphatidylcholine:ceramide cholinephosphotransferase 1 (EC 2.7.8.27) (Protein Mob) (Sphingomyelin synthase 1)	SGMS1 MOB RCJMB04_29o9	Gallus gallus (Chicken)	417
Q5ZIZ2	SMYD5_CHICK	reviewed	SET and MYND domain-containing protein 5 (EC 2.1.1.-)	SMYD5 RCJMB04_22j23	Gallus gallus (Chicken)	420
P60878	SNP25_CHICK	reviewed	Synaptosomal-associated protein 25 (SNAP-25) (Super protein) (SUP) (Synaptosomal-associated 25 kDa protein)	SNAP25 SNAP	Gallus gallus (Chicken)	206
Q90X67	SOCS3_CHICK	reviewed	Suppressor of cytokine signaling 3 (SOCS-3)	SOCS3	Gallus gallus (Chicken)	209
P80566	SODC_CHICK	reviewed	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)	SOD1	Gallus gallus (Chicken)	154
Q6EE31	TCPQ_CHICK	reviewed	T-complex protein 1 subunit theta (TCP-1-theta) (CCT-theta)	CCT8	Gallus gallus (Chicken)	548
Q5ZJ54	TCPZ_CHICK	reviewed	T-complex protein 1 subunit zeta (TCP-1-zeta) (CCT-zeta)	CCT6 RCJMB04_20k5	Gallus gallus (Chicken)	530
P43347	TCTP_CHICK	reviewed	Translationally-controlled tumor protein homolog (TCTP) (p23) (pCHK23)	TPT1	Gallus gallus (Chicken)	172
E1C3S7	TDRD7_CHICK	reviewed	Tudor domain-containing protein 7	TDRD7	Gallus gallus (Chicken)	1071
P48984	TEAD4_CHICK	reviewed	Transcriptional enhancer factor TEF-3 (M-CAT-binding factor) (RTEF-1) (TEA domain family member 4) (TEAD-4) (TEF-1)	TEAD4 TEF-1 TEF3	Gallus gallus (Chicken)	438
Q5ZIR1	SHLB1_CHICK	reviewed	Endophilin-B1 (SH3 domain-containing GRB2-like protein B1)	SH3GLB1 RCJMB04_24b23	Gallus gallus (Chicken)	366
Q701R0	SIAT2_CHICK	reviewed	Beta-galactoside alpha-2,6-sialyltransferase 2 (Alpha 2,6-ST 2) (EC 2.4.99.1) (CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,6-sialyltransferase 2) (ST6Gal II) (ST6GalII) (Sialyltransferase 2)	ST6GAL2	Gallus gallus (Chicken)	528
E1C5V0	SMYD2_CHICK	reviewed	N-lysine methyltransferase SMYD2 (EC 2.1.1.-) (Histone methyltransferase SMYD2) (EC 2.1.1.43) (SET and MYND domain-containing protein 2)	SMYD2	Gallus gallus (Chicken)	436
P79774	SNAT_CHICK	reviewed	Serotonin N-acetyltransferase (Serotonin acetylase) (EC 2.3.1.87) (Aralkylamine N-acetyltransferase) (AA-NAT)	AANAT SNAT	Gallus gallus (Chicken)	205
Q6VYA3	SOSD1_CHICK	reviewed	Sclerostin domain-containing protein 1 (Wnt-signaling modulator)	SOSTDC1 WISE	Gallus gallus (Chicken)	206
Q7T0B1	STK40_CHICK	reviewed	Serine/threonine-protein kinase 40 (EC 2.7.11.1) (Serine/threonine-protein kinase lyk4)	STK40	Gallus gallus (Chicken)	435
O93388	STMN3_CHICK	reviewed	Stathmin-3 (Neuroplasticin-2) (SCG10-like protein)	STMN3 NPC2 SCLIP	Gallus gallus (Chicken)	180
Q5ZJM9	SUMO2_CHICK	reviewed	Small ubiquitin-related modifier 2 (SUMO-2)	SUMO2 RCJMB04_17a7	Gallus gallus (Chicken)	95
P07850	SUOX_CHICK	reviewed	Sulfite oxidase (EC 1.8.3.1)	SUOX	Gallus gallus (Chicken)	459
Q90YH8	ST7L_CHICK	reviewed	Suppressor of tumorigenicity 7 protein-like (Protein HELG)	ST7L HELG	Gallus gallus (Chicken)	555
F1NBT0	STK10_CHICK	reviewed	Serine/threonine-protein kinase 10 (EC 2.7.11.1)	STK10	Gallus gallus (Chicken)	969
Q0GGW5	STK11_CHICK	reviewed	Serine/threonine-protein kinase STK11 (EC 2.7.11.1) (Liver kinase B1 homolog) (LKB1)	STK11	Gallus gallus (Chicken)	440
P31395	STMN1_CHICK	reviewed	Stathmin	STMN1 LAP18	Gallus gallus (Chicken)	148
Q800K9	SURF4_CHICK	reviewed	Surfeit locus protein 4	SURF4 SURF-4	Gallus gallus (Chicken)	269
Q5ZIT8	TAF2_CHICK	reviewed	Transcription initiation factor TFIID subunit 2 (TBP-associated factor 150 kDa) (Transcription initiation factor TFIID 150 kDa subunit) (TAF(II)150) (TAFII-150) (TAFII150)	TAF2 RCJMB04_23j21	Gallus gallus (Chicken)	1168
Q5F489	TAF3_CHICK	reviewed	Transcription initiation factor TFIID subunit 3 (TBP-associated factor 3)	TAF3 RCJMB04_2c9	Gallus gallus (Chicken)	930
P08070	TBA2_CHICK	reviewed	Tubulin alpha-2 chain (Testis-specific)		Gallus gallus (Chicken)	446
P09203	TBB1_CHICK	reviewed	Tubulin beta-1 chain (Beta-tubulin class-I)		Gallus gallus (Chicken)	445
P09207	TBB6_CHICK	reviewed	Tubulin beta-6 chain (Beta-tubulin class-VI)		Gallus gallus (Chicken)	446
Q5ZKT1	TBCC1_CHICK	reviewed	TBCC domain-containing protein 1	TBCCD1 RCJMB04_9e22	Gallus gallus (Chicken)	555
P79782	TCF15_CHICK	reviewed	Transcription factor 15 (TCF-15) (Paraxis) (Protein bHLH-EC2)	TCF15 BHLHEC2	Gallus gallus (Chicken)	183
E1BZR9	TCPR1_CHICK	reviewed	Tectonin beta-propeller repeat-containing protein 1	TECPR1	Gallus gallus (Chicken)	1173
P36195	TDT_CHICK	reviewed	DNA nucleotidylexotransferase (EC 2.7.7.31) (Terminal addition enzyme) (Terminal deoxynucleotidyltransferase) (Terminal transferase)	DNTT TDT	Gallus gallus (Chicken)	506
Q5ZKH0	TF2H5_CHICK	reviewed	General transcription factor IIH subunit 5 (General transcription factor IIH polypeptide 5) (TFB5 ortholog) (TFIIH basal transcription factor complex TTD-A subunit)	GTF2H5 RCJMB04_10n20	Gallus gallus (Chicken)	71
P30371	TGFB2_CHICK	reviewed	Transforming growth factor beta-2 (TGF-beta-2) [Cleaved into: Latency-associated peptide (LAP)]	TGFB2	Gallus gallus (Chicken)	412
Q5ZJL5	PURA2_CHICK	reviewed	Adenylosuccinate synthetase isozyme 2 (AMPSase 2) (AdSS 2) (EC 6.3.4.4) (Adenylosuccinate synthetase, acidic isozyme) (Adenylosuccinate synthetase, liver isozyme) (L-type adenylosuccinate synthetase) (IMP--aspartate ligase 2)	ADSS ADSS2 RCJMB04_17e23	Gallus gallus (Chicken)	451
P63247	RACK1_CHICK	reviewed	Receptor of activated protein C kinase 1 (Guanine nucleotide-binding protein subunit beta-like protein 12.3) (Receptor for activated C kinase) (Receptor of activated protein kinase C 1) (RACK1)	RACK1 GNB2L1	Gallus gallus (Chicken)	317
P37383	RAD51_CHICK	reviewed	DNA repair protein RAD51 homolog 1	RAD51A RAD51	Gallus gallus (Chicken)	339
O12944	RAD54_CHICK	reviewed	DNA repair and recombination protein RAD54-like (EC 3.6.4.-) (Putative recombination factor GdRad54) (RAD54 homolog) (Fragment)	RAD54L RAD54	Gallus gallus (Chicken)	733
P05625	RAF1_CHICK	reviewed	RAF proto-oncogene serine/threonine-protein kinase (EC 2.7.11.1) (C-MIL) (C-RAF) (MIL proto-oncogene serine/threonine-protein kinase) (RAF-1)	RAF1 MIL	Gallus gallus (Chicken)	647
Q90966	RARA_CHICK	reviewed	Retinoic acid receptor alpha (RAR-alpha) (Nuclear receptor subfamily 1 group B member 1)	RARA NR1B1	Gallus gallus (Chicken)	460
Q5F3Z1	PYRG2_CHICK	reviewed	CTP synthase 2 (EC 6.3.4.2) (CTP synthetase 2) (UTP--ammonia ligase 2)	CTPS2 RCJMB04_4c5	Gallus gallus (Chicken)	586
P48440	OST48_CHICK	reviewed	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit (DDOST 48 kDa subunit) (Oligosaccharyl transferase 48 kDa subunit) (OST 50 kDa subunit)	DDOST OST48	Gallus gallus (Chicken)	413
Q5ZJR3	OSTC_CHICK	reviewed	Oligosaccharyltransferase complex subunit OSTC	OSTC RCJMB04_16e19	Gallus gallus (Chicken)	149
Q5ZIP6	OTU6B_CHICK	reviewed	OTU domain-containing protein 6B (EC 3.4.19.12)	OTUD6B RCJMB04_24h18	Gallus gallus (Chicken)	302
Q5F3G6	P20L1_CHICK	reviewed	PHD finger protein 20-like protein 1	PHF20L1 RCJMB04_17i16	Gallus gallus (Chicken)	762
Q98907	P2RY3_CHICK	reviewed	P2Y purinoceptor 3 (P2Y3) (Nucleoside diphosphate receptor)	P2RY3	Gallus gallus (Chicken)	328
Q5ZJS6	PAIP2_CHICK	reviewed	Polyadenylate-binding protein-interacting protein 2 (PABP-interacting protein 2) (PAIP-2) (Poly(A)-binding protein-interacting protein 2)	PAIP2 RCJMB04_16b5	Gallus gallus (Chicken)	127
Q5F450	PAN2_CHICK	reviewed	PAN2-PAN3 deadenylation complex catalytic subunit PAN2 (EC 3.1.13.4) (Inactive ubiquitin carboxyl-terminal hydrolase 52) (PAB1P-dependent poly(A)-specific ribonuclease) (Poly(A)-nuclease deadenylation complex subunit 2) (PAN deadenylation complex subunit 2)	PAN2 USP52 RCJMB04_3e13	Gallus gallus (Chicken)	1197
Q0ZM14	PCD15_CHICK	reviewed	Protocadherin-15	Pcdh15	Gallus gallus (Chicken)	1899
P05153	PCKGC_CHICK	reviewed	Phosphoenolpyruvate carboxykinase, cytosolic [GTP] (PEPCK-C) (EC 4.1.1.32)	PCK1	Gallus gallus (Chicken)	622
Q9PU36	PCLO_CHICK	reviewed	Protein piccolo (Aczonin) (Fragment)	PCLO ACZ	Gallus gallus (Chicken)	5120
Q8AV28	PCM1_CHICK	reviewed	Pericentriolar material 1 protein (PCM-1)	PCM1	Gallus gallus (Chicken)	1904
Q5ZMR3	PCMD1_CHICK	reviewed	Protein-L-isoaspartate O-methyltransferase domain-containing protein 1	PCMTD1 RCJMB04_1g9	Gallus gallus (Chicken)	358
Q8JGM4	QSOX1_CHICK	reviewed	Sulfhydryl oxidase 1 (EC 1.8.3.2) (Quiescin Q6)	QSOX1 QSCN6 QSOX SOX	Gallus gallus (Chicken)	743
Q5ZKU5	RAB14_CHICK	reviewed	Ras-related protein Rab-14	RAB14 RCJMB04_9b24	Gallus gallus (Chicken)	215
Q98932	RAB5C_CHICK	reviewed	Ras-related protein Rab-5C (Rab5C-like protein)	RAB5C	Gallus gallus (Chicken)	216
Q9W7I5	RBBP4_CHICK	reviewed	Histone-binding protein RBBP4 (Chromatin assembly factor 1 subunit C) (CAF-1 subunit C) (Chromatin assembly factor I p48 subunit) (CAF-I 48 kDa subunit) (CAF-I p48) (chCAF-1 p48) (Retinoblastoma-binding protein 4) (RBBP-4) (Retinoblastoma-binding protein p48)	RBBP4 RBAP48	Gallus gallus (Chicken)	425
Q5F3N1	PIMT_CHICK	reviewed	Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PIMT) (EC 2.1.1.77) (L-isoaspartyl protein carboxyl methyltransferase) (Protein L-isoaspartyl/D-aspartyl methyltransferase) (Protein-beta-aspartate methyltransferase)	PCMT1 RCJMB04_11o11	Gallus gallus (Chicken)	228
Q5ZLY5	PKHF2_CHICK	reviewed	Pleckstrin homology domain-containing family F member 2 (PH domain-containing family F member 2)	PLEKHF2 RCJMB04_4g10	Gallus gallus (Chicken)	249
Q5ZKU0	PKRI1_CHICK	reviewed	PRKR-interacting protein 1 homolog	PRKRIP1 RCJMB04_9c11	Gallus gallus (Chicken)	189
Q9DG23	POPD1_CHICK	reviewed	Blood vessel epicardial substance (Popeye domain-containing protein 1) (Popeye protein 1)	BVES POP1 POPDC1	Gallus gallus (Chicken)	357
P19179	PLSI_CHICK	reviewed	Plastin-1 (Fimbrin)	PLS1	Gallus gallus (Chicken)	630
Q98917	PMEL_CHICK	reviewed	Melanocyte protein PMEL (115 kDa melanosomal matrix protein) (Melanocyte protein Pmel 17) (Premelanosome protein) (Silver locus protein homolog)	PMEL MMP115 PMEL17 SILV	Gallus gallus (Chicken)	763
P62597	POTE1_CHICK	reviewed	Protection of telomeres protein 1 (cPot1) (POT1-like telomere end-binding protein)	POT1	Gallus gallus (Chicken)	778
P48463	PP2AA_CHICK	reviewed	Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform (PP2A-alpha) (EC 3.1.3.16)	PPP2CA	Gallus gallus (Chicken)	309
Q04594	PRLR_CHICK	reviewed	Prolactin receptor (PRL-R) (cPRLR)	PRLR	Gallus gallus (Chicken)	831
E1BYA3	PTSS2_CHICK	reviewed	Phosphatidylserine synthase 2 (PSS-2) (PtdSer synthase 2) (EC 2.7.8.29) (Serine-exchange enzyme II)	PTDSS1	Gallus gallus (Chicken)	442
P21872	PUR2_CHICK	reviewed	Trifunctional purine biosynthetic protein adenosine-3 [Includes: Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (Glycinamide ribonucleotide synthetase) (GARS) (Phosphoribosylglycinamide synthetase); Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase); Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) (5'-phosphoribosylglycinamide transformylase) (GAR transformylase) (GART)]	GART	Gallus gallus (Chicken)	1003
P21265	PUR8_CHICK	reviewed	Adenylosuccinate lyase (ADSL) (ASL) (EC 4.3.2.2) (Adenylosuccinase) (ASase)	ADSL	Gallus gallus (Chicken)	485
P08938	PURP_CHICK	reviewed	Purpurin		Gallus gallus (Chicken)	196
Q2VRL0	PLCZ1_CHICK	reviewed	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase zeta-1 (EC 3.1.4.11) (Phosphoinositide phospholipase C-zeta-1) (Phospholipase C-zeta-1) (PLC-zeta-1)	PLCZ1	Gallus gallus (Chicken)	637
P15143	PO2F1_CHICK	reviewed	POU domain, class 2, transcription factor 1 (NF-A1) (Octamer-binding protein 1) (Oct-1) (Octamer-binding transcription factor 1) (OTF-1)	POU2F1 OCT1 OTF1	Gallus gallus (Chicken)	739
A7Y7W2	PO5F3_CHICK	reviewed	POU domain, class 5, transcription factor 3	POU5F3 POU2 POUV	Gallus gallus (Chicken)	389
Q9W6V5	PTPRJ_CHICK	reviewed	Receptor-type tyrosine-protein phosphatase eta (Protein-tyrosine phosphatase eta) (R-PTP-eta) (EC 3.1.3.48) (HPTP eta) (Protein-tyrosine phosphatase receptor type J) (R-PTP-J) (Supporting-cell antigen)	PTPRJ	Gallus gallus (Chicken)	1406
P29203	PYY_CHICK	reviewed	Peptide YY-like (PYY)	PYY	Gallus gallus (Chicken)	37
Q9YH18	QKI_CHICK	reviewed	Protein quaking	QKI	Gallus gallus (Chicken)	340
Q5XXA9	PSIP1_CHICK	reviewed	Lens epithelium-derived growth factor	PSIP1 LEDGF	Gallus gallus (Chicken)	579
P15743	PTHY_CHICK	reviewed	Parathyroid hormone (PTH)	PTH	Gallus gallus (Chicken)	119
